run_id,iter_pi,iter_p,iter_p_with_pi,R,E,sanity_check
1.0,7.0,7.0,3.0,0.044908457054096296,0.003687361173539404,3.248783710955336e-7
2.0,8.0,7.0,3.0,0.06399422796758136,0.005530600217965383,6.245100059018304e-7
3.0,7.0,7.0,2.0,0.034591517701320296,0.004177969586204936,6.181748765251775e-7
4.0,8.0,7.0,3.0,0.027459180488420554,0.004964453323306547,5.164806102833807e-7
5.0,8.0,7.0,3.0,0.06960876814130912,0.005408064630171051,1.2542131345321109e-7
6.0,8.0,7.0,3.0,0.032053888127189234,0.0035514662896790968,3.277143760774502e-7
7.0,7.0,7.0,3.0,0.0512908688455459,0.0028640073267832645,1.47035301149423e-7
8.0,8.0,7.0,3.0,0.06839370029696834,0.005532802746457299,2.661051814141832e-7
9.0,7.0,7.0,3.0,0.04187904049549984,0.01107190990876668,1.5666437466769946e-7
10.0,7.0,7.0,2.0,0.04344661579867504,0.005216478693688449,5.670335466371937e-7
11.0,7.0,7.0,2.0,0.05015985259341549,0.003724177308654836,3.569830216393803e-7
12.0,8.0,7.0,2.0,0.040777531526557276,0.002124700147804903,3.6085201330258844e-7
13.0,6.0,7.0,2.0,0.053929041213644835,0.0037299214783087994,3.1689923954500745e-7
14.0,8.0,7.0,2.0,0.051351931730592826,0.00541992804132588,5.914416056009499e-7
15.0,7.0,7.0,3.0,0.048199912469980566,0.004137040888730219,2.1312484809088375e-7
16.0,7.0,7.0,3.0,0.04365976015971951,0.0025649017010212507,2.2731881445090636e-7
17.0,8.0,7.0,2.0,0.05181302391225051,0.009114890325164158,3.5337300854387075e-7
18.0,8.0,7.0,2.0,0.02468349099863465,0.006978407897883255,6.571553392143138e-7
19.0,7.0,7.0,2.0,0.06242511558389752,0.0038522649954898904,3.4987895431340206e-7
20.0,7.0,7.0,3.0,0.042858035399538474,0.002401836568786223,2.1024086732412436e-7
21.0,7.0,7.0,3.0,0.04397774816534383,0.003987316471729272,2.156891192563357e-7
22.0,7.0,7.0,3.0,0.07612954444686248,0.008395704825581676,2.0923143383100291e-7
23.0,8.0,7.0,2.0,0.03718821613196077,0.004189908873216742,5.548409171507017e-7
24.0,8.0,7.0,2.0,0.02121700622720324,0.004986672218927058,5.135501652962244e-7
25.0,8.0,7.0,2.0,0.020468874400042747,0.004048933727132803,2.600347062066018e-7
26.0,9.0,7.0,2.0,0.021098832307476112,0.00425971452105579,5.815248035553771e-7
27.0,8.0,7.0,3.0,0.049625348564169336,0.005389542458782878,6.157207146114258e-7
28.0,8.0,7.0,3.0,0.05434301737329417,0.0039282530970737245,3.2588091744607756e-7
29.0,7.0,7.0,3.0,0.0633269765237563,0.0048658667232520025,4.944767175345057e-7
30.0,7.0,7.0,3.0,0.06969228539709604,0.0035792481224699683,1.09112468063879e-7
31.0,8.0,7.0,3.0,0.06437947470037408,0.003327363408417213,3.8933027965444774e-7
32.0,6.0,7.0,3.0,0.07122058444716572,0.002559529842703824,2.1351891498746609e-7
33.0,7.0,7.0,3.0,0.07052042488006727,0.003111405392114098,1.3876186520766203e-7
34.0,8.0,7.0,2.0,0.02414044539918514,0.005315645550173747,6.008074879065343e-7
35.0,8.0,7.0,3.0,0.06470350943490621,0.004984640717303123,5.15940126233731e-7
36.0,7.0,7.0,3.0,0.057892040787704824,0.0046698234830804325,4.7325886769468423e-7
37.0,8.0,7.0,3.0,0.0438100224812088,0.006538732235565121,5.24287121774054e-7
38.0,6.0,7.0,3.0,0.0532352901830222,0.0035446193662595367,2.970784082264515e-7
39.0,7.0,7.0,3.0,0.03912145413861312,0.002883686460018546,1.1811099071634979e-7
40.0,7.0,7.0,3.0,0.04151638101002453,0.003114248769833019,2.738865733788778e-7
41.0,8.0,7.0,2.0,0.06035088855182802,0.006167306892388096,5.788789141926957e-7
42.0,7.0,7.0,3.0,0.05165538838141348,0.012415971048750613,1.267997886817223e-7
43.0,9.0,7.0,3.0,0.03637921244473863,0.005178249650416777,6.716489141005532e-7
44.0,7.0,7.0,3.0,0.04151397888002584,0.002671627339163618,2.317617260313237e-7
45.0,8.0,7.0,3.0,0.034213403006807086,0.003716400862370534,3.3743365979593707e-7
46.0,5.0,7.0,3.0,0.062110372210320786,0.0038761765941018296,1.1956514055601355e-7
47.0,8.0,7.0,2.0,0.03479591298684426,0.006799459748348406,7.304629576411224e-7
48.0,8.0,7.0,3.0,0.061095251672115714,0.004468185047862338,3.8952143920403434e-7
49.0,8.0,7.0,3.0,0.0517539312797044,0.005423003145696996,6.025977756964741e-7
50.0,7.0,7.0,3.0,0.049572845976781243,0.005606554467895381,6.378122760565167e-7
51.0,6.0,7.0,3.0,0.07560852190937617,0.0030299243922261108,1.2994115475608264e-7
52.0,7.0,7.0,2.0,0.044204191684693805,0.008801589646098635,4.1242832153763414e-7
53.0,6.0,7.0,3.0,0.06076216562734871,0.0034709434980688698,1.2958183573406706e-7
54.0,6.0,7.0,3.0,0.05381437021391822,0.003285187322761803,1.398404621949107e-7
55.0,7.0,7.0,3.0,0.03918868815452159,0.0033374054655343124,1.5163482331854843e-7
56.0,6.0,7.0,3.0,0.06032017308343307,0.003489892047601827,1.1877095240873506e-7
57.0,8.0,7.0,2.0,0.02108779160280072,0.0076762724291074376,5.490689961600197e-7
58.0,8.0,7.0,2.0,0.039052450580775444,0.007515399753565055,5.0987951898763e-7
59.0,8.0,7.0,2.0,0.06399730321892982,0.005036326392779454,4.623465590049008e-7
60.0,7.0,7.0,3.0,0.03814875223009695,0.004440271444325928,4.138904826413503e-7
61.0,8.0,7.0,3.0,0.05759244603415348,0.005256835079470501,5.547651762565874e-7
62.0,7.0,7.0,3.0,0.05543026912390925,0.0044536644891026555,4.115210658587193e-7
63.0,7.0,7.0,3.0,0.025721467138611898,0.0031243696843432068,1.2394846205538267e-7
64.0,8.0,7.0,2.0,0.05096353315009283,0.0043027853034173615,3.658008613941454e-7
65.0,7.0,7.0,3.0,0.04224165018347659,0.0024934255135426364,2.2737580623466298e-7
66.0,6.0,7.0,2.0,0.03916062826425648,0.00462325657859733,4.3278632051445943e-7
67.0,8.0,7.0,2.0,0.060122479696049336,0.005096052925094383,6.139349318353977e-7
68.0,8.0,7.0,2.0,0.019497582106054345,0.006145167049882303,4.5134027092261676e-7
69.0,7.0,7.0,3.0,0.04429090366182109,0.014096347572967974,1.7721778859086066e-7
70.0,7.0,7.0,3.0,0.061118331992524366,0.002838677566009432,1.7461308648784926e-7
71.0,7.0,7.0,3.0,0.05583301049446221,0.002465354273947325,2.0316641844930904e-7
72.0,8.0,7.0,3.0,0.0483143165087454,0.00568509978825533,4.932813846041942e-7
73.0,7.0,7.0,3.0,0.06706206636754675,0.004522225528648684,4.274776701552072e-7
74.0,8.0,7.0,3.0,0.075733754591369,0.008572075106749613,5.523275178217167e-7
75.0,5.0,7.0,2.0,0.07009225472817016,0.003451095863409325,1.5282625079248924e-7
76.0,5.0,7.0,2.0,0.030044845225322803,0.0033233365935187668,2.798106996423711e-7
77.0,7.0,7.0,2.0,0.032769424251890555,0.00908084958576958,3.4050766924118293e-7
78.0,7.0,7.0,3.0,0.04103050638286354,0.003348074540462744,1.100961503213757e-7
79.0,8.0,7.0,3.0,0.059579766923255395,0.004424273796753666,2.392444720383609e-7
80.0,6.0,7.0,3.0,0.05852370711341892,0.003354086788388577,2.2536800564938845e-7
81.0,7.0,7.0,3.0,0.05410106705570028,0.0031068993786411794,1.6000490001346818e-7
82.0,7.0,7.0,3.0,0.0684682757523788,0.002500343324293177,1.9269368501085307e-7
83.0,7.0,7.0,3.0,0.07669503147385459,0.003061494185996023,1.4706526619941986e-7
84.0,7.0,7.0,3.0,0.06405340595424014,0.0033543392288405216,1.4642712196673745e-7
85.0,5.0,7.0,2.0,0.0531278538508384,0.00386327796903607,3.404950926211506e-7
